Department,Entity,Payment Date,Expense Type,Expense Area,Supplier,Transaction No, Amount ,Description,Post Code,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,06/01/2020,IT Ser Running Costs,Local,Civica UK Ltd,2000020410," £33,868.33 ",#,DY1 4TD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,Consultants Costs,COMMERCIAL & PROCUREMENT,OVE ARUP & PARTNERS,783135," £33,765.15 ",Support General Other,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,783280," £33,758.25 ",TM - Other,NE1 3PL,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,08/01/2020,OCCUP HEALTH SCHEME,CA DIRECTOR,EDENRED (INCENTIVES & MOTIVATION),1900008662," £33,755.00 ",RECOGNITION VOUCHERS,CH4 9QJ,GB741777412,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,GALLIFORD TRY HIGHWAYS,CONF9134601841359088," £33,753.46 ",LNMS Other Economy,LS27 0BZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104200341006847," £33,737.89 ",Renewals of Roads,OX4 4DQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,JOINTLINE LIMITED,CONF9074701841716579," £33,737.87 ",Renewals of Roads,LN6 9TW,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,10/01/2020,P30060 - Infrastructure,Environmental Services,THE FEDERATION OF GROUNDWORK TRUSTS T/A GROUNDWORK UK,#," £33,664.80 ",Environmental Services,,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,08/01/2020,P40035 - Chief Finance Officer,Commerical Secondees,THE NICHOLS GROUP LTD,#," £33,660.00 ",Name Removed,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,Contractor Costs,IT DIRECTORATE,WSP UK LIMITED,782653," £33,625.64 ",Operate General Management Costs,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",CONSTRUCTION INDUSTRY RESEARCH & INFORMATION ASSOCIATION (CIRIA),781373," £33,600.00 ",Support General Research and Development,EC1A 9PN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,17/01/2020,Transport  Consult,DG_RAIL - Network Services,STEER DAVIES & GLEAVE LIMITED,2000021381," £33,568.40 ",Transport consultancy,SE1 9PD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,RM - Electricity costs,FINANCE & BUSINESS SERVICES,BRITISH GAS TRADING LIMITED,782095," £33,533.60 ",Routine Maintenance,GU95 1AW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,COLAS LTD,CONF9103700541000531," £33,422.18 ",Renewals of Roads,RH10 4NF,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40030 - Chief Operating Officer (COO),"Assurance, Audit, Risk Services",OVE ARUP & PARTNERS LIMITED,#," £33,379.50 ","Phases 2 & 3 Scope - Expert advice inc  market research, SoC & engineering/construction advice, engagement, final report and conclusion ",,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,Contractor Costs,OPERATIONS DIRECTORATE,DIRECT TYRE MANAGEMENT LTD,782746," £33,282.34 ",Customer Operations Traffic Management,WN8 9RD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES,CONF9104500541002598," £33,271.98 ",Renewals of Structures,ST19 5DJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-12-2019,Contractor Costs,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9103000741002363," £33,099.92 ",Operate General Management Costs,OX4 4DQ,,,,,,,,,,,,,,,,,,,
Department For Transport,East West Rail,02/01/2020,Consultancy,Central ,BTTC Infrastructure Limited,1064," £33,082.20 ",Central Section Consultancy & Prof Ser,M1 2HY,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40020 - Stakeholder Engagement,Commerical Secondees,NETWORK RAIL INFRASTRUCTURE LTD,#," £33,048.17 ",Name Removed,,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,07/01/2020,Mail Collection/Delivery Costs,Operations,ROYAL MAIL GROUP LIMITED,2000027998," £33,042.66 ",#,S49 1HQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Support Services,Aviation,DURHAM TEES VALLEY AIRPORT LIMITED,2000021122," £33,042.60 ",#,DL2 1LU,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GROUP LTD,783277," £33,000.28 ",RIS 2 Schemes,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GROUP LTD,783278," £33,000.28 ",RIS 2 Schemes,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,THE POLICE AND CRIME COMMISSIONER FOR SUSSEX,782979," £32,964.00 ",SR13 Smart Motorway Scheme,BN7 2DZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,30/01/2020,Medical Advisory Service,Operations,The Royal Wolverhampton NHS Trust,2000030172," £32,955.00 ",#,WV10 0QA,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,03/01/2020,P40035 - Chief Finance Officer,It Services,ARES SOFTWARE UK LTD,#," £32,935.08 ","Licences, Hosting and Support Services",,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,TELENT TECHNOLOGY SERVICES LIMITED,781524," £32,884.25 ",SR13 Smart Motorway Scheme,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,29-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,SIEMENS PLC,783147," £32,881.79 ",Renewals of Technology,M20 2UR,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BAM MORGAN SINDALL JOINT VENTURE,782380," £32,854.76 ",Innovation Safety Delivery,LS27 0NQ,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Subsidies Private Se,Local,Metroline Travel Ltd,2000021071," £32,842.60 ",METROLINE TRAVEL LTD,NW2 6JP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,TA Cost AUC - Programme,STRATEGY & PLANNING DIR,ATKINS-CH2M JOINT VENTURE,782638," £32,840.95 ",Support General Other,W6 7EF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,15/01/2020,Subsidies Private Se,Local,SOUTHDOWN PSV LTD,2000021082," £32,823.86 ",Southdown PSV Ltd,RH10 3EN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-12-2019,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,COLAS LTD,CONF9102300641001661," £32,787.88 ",Renewals of Roads,RH10 4NF,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,09/01/2020,Transport  Consult,DG_RAIL - Network Services,Mott MacDonald Limited,2000020673," £32,775.60 ",Transport consultancy,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P30060 - Infrastructure,Memberships & Subscriptions,RAIL SAFETY AND STANDARDS BOARD LTD,#," £32,741.76 ",FY 19/20 membership levy,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,782830," £32,725.60 ",Safety Feasibility,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,24/01/2020,IT Equip Cap Cost,Group Assurance,INSIGHT DIRECT (UK) LTD,2000021910," £32,715.92 ",#,UB8 1PH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,Consultants Costs,STRATEGY & PLANNING DIR,OVE ARUP & PARTNERS,782877," £32,713.00 ",Support General Other,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",CACI LTD,782605," £32,637.00 ",Innovation Safety Delivery,W14 8TS,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,28/01/2020,P40020 - Stakeholder Engagement,Professional Services,Cision Group Limited,#," £32,631.36 ",media monitoring,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,782328," £32,419.76 ",RIS 1 Schemes,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,OVE ARUP & PARTNERS,781358," £32,310.92 ",Innovation Safety Delivery,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,CM - Lump Sum Fees,OPERATIONS DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,APC203922," £32,263.34 ",Technology Maintenance,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,02-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,VODAFONE LIMITED (CIS) DIVERT/CONNECT,781245," £32,246.65 ",RIS 1 Schemes,SE1 0SL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,ATKINS-CH2M JOINT VENTURE,781996," £32,244.80 ",Support Enhancements,W6 7EF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,CM - Time Based Charges,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC204011," £32,223.81 ",Routine Maintenance,DL1 1TJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,10/01/2020,GR/IR  Non Secured stock clearing account,Operations,APS Group Ltd,2000026496," £32,202.42 ",#,SK3 0ZP,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,07/01/2020,ICT Project Delivery,Radio Network Infrastructure Replacement Programme,TP Group Plc,233082326," £32,172.00 ",ISDN integrated services digital network services,GU14 0LX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,30/01/2020,Minor Developments,Local,Civica UK Ltd,2000022412," £32,105.33 ",#,DY1 4TD,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,23/01/2020,Cap Grt Pri Sec-Cos.,"Energy,Technology & Innovation",McNally Electrical Yorkshire,2000021834," £32,000.00 ",McNally Oct 19 #32000,BD22 7AR,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,14/01/2020,IT SERVICE RUNNING COSTS,CPMS RUN &CI,BJSS LIMITED,5100009089," £31,920.00 ",CPMS CI 01.12.19 – 31.12.19,LS1 2TW,GB613295452,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,CARNELL SUPPORT SERVICES,CONF9104500541006709," £31,907.99 ",Renewals of Structures,ST19 5DJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,782485," £31,827.00 ",Air Quality,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,GEORGE CORDEROY & CO,782145," £31,818.66 ",RIS 1 Schemes,ME18 5NN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,24-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,CONF9213606630007050," £31,811.90 ",LNMS Other Economy,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,782885," £31,800.00 ",Innovation Safety Feasibility,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P20070 - Phase 2,Project Management,NETWORK RAIL INFRASTRUCTURE LTD,#," £31,795.63 ",NR DSA for Midland Mainline Electrification,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,24/01/2020,Transport  Consult,DG_RAIL - Network Services,HALCROW GROUP LTD,2000021912," £31,787.29 ",Transport consultancy,W6 7EF,,,,,,,,,,,,,,,,,,,
Department For Transport,British Transport Police,22/01/2020,Building Rental,Sc Area Command,Glasgow Caledonian University,501063," £31,690.07 ",Building Rental,G4 0BA,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,17/01/2020,P40010 - Safety and Assurance,Professional Services,STRATIA CONSULTING LTD,#," £31,680.00 ",Purchase order requisition for Professional services - Security,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,18-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,FOREST TRAFFIC SERVICES LTD,CONF9215402842148220," £31,637.09 ",Environment Water Quality Delivery,NP19 4PN,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,20/01/2020,Transport  Consult,DG_RAIL - Network Services,HALCROW GROUP LTD,2000021496," £31,606.00 ",Transport consultancy,W6 7EF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,CH2M HILL UNITED KINGDOM,782464," £31,587.66 ",RIS 1 Schemes,W6 7EF,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,14/01/2020,Machinery Maintenance,Operations,Kodak Limited,2000028649," £31,557.50 ",#,WD18 8PX,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,TA Renewal of Structures - Capital,OPERATIONS DIRECTORATE,AECOM INFRASTRUCTURE & ENVIRONMENT UK LIMITED,782275," £31,515.69 ",Renewals of Structures,RG21 7PP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CHEVRON TRAFFIC MANAGEMENT LIMITED,CONF9075402141716576," £31,509.95 ",Renewals of Roads,OX9 3XA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,16/01/2020,Research,Local,Ove Arup & Partners Limited,2000021303," £31,430.00 ",#,W1T 4BQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,08/01/2020,Civil Hydrographic Work,Navigation Safety and Surveillance,Clinton Marine Survey,233082331," £31,405.70 ",Hydrographic Survey Sevices,831 22,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,11/01/2020,Agents Fees,Operations,SGS United Kingdom Ltd,2000026477," £31,308.00 ",#,CH65 3EN,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-11-2019,"Contingent Labour,",IT DIRECTORATE,LA INTERNATIONAL COMPUTER CONSULTANTS LTD,LA574325REP," £31,250.10 ",Support General Corporate Services,ST1 5UB,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,13/01/2020,Aviation Fuel Charge,Newquay SAR Helicopter Base,Bristow Helicopters Ltd,233082541," £31,184.75 ",Provision of SAR Services ,RH1 5JZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CEMEX PAVING SOLUTIONS LIMITED,782081," £31,141.23 ",Renewals of Roads,CV21 2DT,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,Payroll service provider charges,HUMAN RESOURCES,LIBERATA UK LIMITED,781276," £31,128.23 ",Support General Corporate Services,CR0 6SR,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Contractor Costs,IT DIRECTORATE,ADVANCED 365 LIMITED,783368," £31,110.00 ",Technology Projects - Economy,SL3 9LL,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,21/01/2020,IT Ser Running Costs,Group Assurance,Stone Computers Ltd,2000021598," £31,077.46 ",#,ST18 9AA,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,21/01/2020,IT Equip Cap Cost,Group Assurance,Stone Computers Ltd,2000021598," £31,077.45 ",#,ST18 9AA,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40030 - Chief Operating Officer (COO),Claimants Professional Fees,GATELEY HAMER LIMITED,#," £31,017.50 ","TACHO FIT, PROFESSIONAL SERVICES, EXPRESS PURCHASE",,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",WSP UK LIMITED,783098," £30,977.00 ",TM - Other,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,H W MARTIN (TRAFFIC MANAGEMENT) LTD,CONF9143704611128352," £30,939.05 ",Renewals of Roads,DE55 5JY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,BARRIER SERVICES LTD,CONF9213002542140608," £30,845.73 ",LNMS Safety,NP26 5BB,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,AMEY OW LIMITED,CONF9104200341001621," £30,802.16 ",Winter Maintenance - Assets,OX4 4DQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,02-01-2020,External training leading to qualifications,HUMAN RESOURCES,QA LIMITED,781221," £30,776.30 ",Support General Corporate Services,LS12 6BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,A-ONE + INTEGRATED HIGHWAY SERVICES (CIS),APC204008," £30,747.78 ",Renewals of Technology,DL1 1TJ,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,17/01/2020,Computer equipment,Information Services,COMPUTACENTER (UK) LTD,2000027995," £30,712.56 ",#,AL10 9TW,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,21-01-2020,RM Cost Reimbursable,OPERATIONS DIRECTORATE,RINGWAY INFRASTRUCTURE SERVICES LTD,CONF9670000346004099," £30,672.48 ",Routine Maintenance,EN1 1TH,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD GROUP LTD,781685," £30,663.19 ",Support General Other,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,KIER HIGHWAYS LIMITED,APC204020," £30,630.65 ",Renewals of Technology,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,Contractor Costs,MAJOR PROJECTS,KIER HIGHWAYS LIMITED,APC203968," £30,615.16 ",Operate S274/S278,SG19 2BD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,BMJV,781387," £30,601.92 ",SR13 Smart Motorway Scheme,LS27 0NQ,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,16/01/2020,PROPERTY MAINTENANCE,ESTATE REVIEW SWANSEA,B E BARKERS BUILDERS LIMITED,5100009269," £30,600.00 ","REFURBISHMENTS - ELLIPSE, SWANSEA",WV14 9NN,GB100520546,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,23-01-2020,CM - Time Based Charges,OPERATIONS DIRECTORATE,THE POLICE AND CRIME COMMISSIONER FOR BEDFORDSHIRE,782658," £30,528.82 ",Routine Maintenance,MK43 9AX,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,07/01/2020,IT Ser Running Costs,Group Finance,CGI IT UK Limited,2000020498," £30,513.67 ",#,EC3M 3BY,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,DYNNIQ,CONF9143102111128597," £30,449.65 ",Renewals of Roads,RG24 8WZ,,,,,,,,,,,,,,,,,,,
DEPARTMENT FOR TRANSPORT,Driver and Vehicle Standards Agency ,16/01/2020,IT SERVICE RUNNING COSTS,EXAMINER SERVICES-OTH,BJSS LIMITED,5100009121," £30,398.00 ",MES SUPPORT,LS1 2TW,GB613295452,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,09-01-2020,Lands Costs,FINANCE & BUSINESS SERVICES,CARTER JONAS LLP,781695," £30,392.24 ",Support General Lands,W1G 0BG,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,29/01/2020,000000 - Auc - Non Infrastructure,Auc - Non Infrastructure,FUJITSU SERVICES LTD,#," £30,314.38 ",OHRS-RCO3-012 PCR194,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Consultants Costs,CORP AFFAIRS & COMMS DIR,VERSION 1,783302," £30,240.00 ",Support General Other,P01 F5P8,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,17-01-2020,Contractor Costs,IT DIRECTORATE,COSTAIN INTEGRATED TECHNOLOGY SOLUTIONS LTD,782248," £30,216.05 ",Technology Maintenance,BS24 7JP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,16-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,MOTT MACDONALD SWECO,782150," £30,193.18 ",Cycling Feasibility,SO50 9NW,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,01/01/2020,P40035 - Chief Finance Officer,It Services,DELOITTE LLP,#," £30,143.29 ",HIP PC Integration for NTP. Ref  HS2/1652,,,,,,,,,,,,,,,,,,,,
Department For Transport,Driver & Vehicle Licensing Agency,05/01/2020,Training,Human Resource & Estates,Capita Business Services Ltd,2000026013," £30,109.23 ",#,B24 9FD,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,10/01/2020,P40030 - Chief Operating Officer (COO),Agency Personnel,THE NICHOLS GROUP LTD,#," £30,090.00 ",Name Removed,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,07-01-2020,TA Cost AUC - ICT (A),MAJOR PROJECTS,NORTHUMBERLAND ESTATES,LOMD273365," £30,000.00 ",SR13 RIP Schemes,NE66 1NQ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,20-01-2020,TA Cost AUC - Programme,"SAFETY, ENGINEERING AND STANDARDS",OVE ARUP & PARTNERS,782360," £30,000.00 ",Innovation Safety Feasibility,NE1 3PL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,CUMBRIA WILDLIFE TRUST,782961," £30,000.00 ",Environment Biod. Feasibility,CA3 0LD,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",CONNECTED PLACES CATAPULT,783360," £30,000.00 ",Support General Research and Development,MK91BP,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,Consultants Costs,OPERATIONS DIRECTORATE,AECOM,781286," £29,985.74 ",Operate General Other,B4 6AT,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,09/01/2020,P40035 - Chief Finance Officer,It Services,IBM (UK) LIMITED,#," £29,984.05 ",IBM - CR21 Oracle BOM,,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,08-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,WSP UK LIMITED,781540," £29,982.17 ",SR13 Smart Motorway Scheme,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,15-01-2020,TA Cost AUC - Programme,OPERATIONS DIRECTORATE,WSP UK LIMITED,782078," £29,893.58 ",Renewals of Technology,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,22-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,AGGREGATE INDUSTRIES UK LTD,782542," £29,872.54 ",Renewals of Roads,LE67 1TL,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,27-01-2020,TA Cost AUC - Programme,MAJOR PROJECTS,SEVERN TRENT WATER LTD (CIS) DIVERT/CONNECT,782958," £29,838.82 ",RIS 1 Schemes,CV1 2LZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,30-01-2020,Consultants Costs,"SAFETY, ENGINEERING AND STANDARDS",ATKINS-CH2M JOINT VENTURE,783353," £29,826.83 ",Support General Other,W6 7EF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,06-01-2020,Contractor Costs,IT DIRECTORATE,TELENT TECHNOLOGY SERVICES LIMITED,781278," £29,771.09 ",Operate General Management Costs,CV34 5AH,,,,,,,,,,,,,,,,,,,
Department For Transport,Maritime and Coastguard Agency,13/01/2020,Aviation Fuel Charge,St Athan SAR Helicopter Base,Bristow Helicopters Ltd,233082543," £29,748.17 ",Provision of SAR Services ,RH1 5JZ,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,14-01-2020,TA Renewal of Roads - Capital,OPERATIONS DIRECTORATE,CHEVRON TRAFFIC MANAGEMENT LIMITED,CONF9104700641003448," £29,622.33 ",Renewals of Roads,OX9 3XA,,,,,,,,,,,,,,,,,,,
Department For Transport,High Speed Two (HS2) Limited,21/01/2020,P40035 - Chief Finance Officer,Legal Services,ADDLESHAW GOODARD LLP,#," £29,594.10 ",HS2/1725 – South Stations Procurement Litigation Support,,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,13/01/2020,Software Lic Cap,Marine Accident Investigation Branch,Tisski Limited,2000020891," £29,580.00 ",#,CV8 2LG,,,,,,,,,,,,,,,,,,,
Department for Transport,Department for Transport,31/01/2020,Transport  Consult,#N/A,Mott MacDonald Limited,2000022511," £29,519.27 ",#,CR0 2EE,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,28-01-2020,TA Cost AUC - Programme,STRATEGY & PLANNING DIR,WSP UK LIMITED,783109," £29,501.36 ",Support General Other,WC2A 1AF,,,,,,,,,,,,,,,,,,,
Department For Transport,Highways England,31-01-2020,Contractor Costs,IT DIRECTORATE,AIT PARTNERSHIP GROUP LTD,783403," £29,454.00 ",Technology Maintenance,RG41 5TS,,,,,,,,,,,,,,,,,,,
