Entity,Transaction Posting Date,Merchant Name,Amount,Description
EA,21/08/2013,STANLEY SECURITY SOLUT,"£1,917.22",Contract renewal for Riversmeet House site security
EA,21/08/2013,STANLEY SECURITY SOLUT,£590.11,Rental and maintenance of clocking-in machine at Hafren House
EA,21/08/2013,STATIONERY OFFICE BOOK,£560.40,Changes to Environmental Permitting Regulations application forms to add in new Standard Rules sets
EA,21/08/2013,STERLING BOLT AND NUT,£805.67,"Three bungee cords, one thousand pan pozi (a type of screw), and two sun-treated safety sheets"
EA,21/08/2013,STERNER AQUATECH LTD,"£1,490.06",Oxygen Monitoring Equipment for Calverton Fish Farm
EA,21/08/2013,STONEWORLD (OXFORDSHIR,£684.00,Delivery of Ironstone rockery for fisheries project
EA,21/08/2013,STOURPORT MANOR,£975.00,Venue hire for 39 people attending Area Management Group meeting
EA,21/08/2013,SUFFOLK FLEET/NETWORK,£770.00,Road closure during work on Butley Mills Project 2
EA,21/08/2013,SURVITEC BRISTOL,£642.48,Buoys and rescue lines for team use
EA,21/08/2013,SURVITEC GRIMSBY,£888.00,Perry Buoy Stations (for holding lifesaving equipment)
EA,21/08/2013,SURVITEC LOWESTOFT,£507.24,Servicing of 24 lifejackets plus repairs
EA,21/08/2013,SWALE BUILDERS SUPPLIE,£873.60,Two pallet-loads of cement delivered to site for repairs to the concrete sea wall at Blacketts
EA,21/08/2013,SWIFT FIRE AND SECURIT,£572.79,Maintenance work for CCTV
EA,21/08/2013,T G BUILDERS MERCHANTS,"£2,717.60",Ground reinforcement mats for roads for vehicle to drive safely over for grip
EA,21/08/2013,TECHNOLOG LTD,£867.60,"Three water-level data loggers, including SIM cards and airtime for wireless information transfer"
EA,21/08/2013,THAMES RESTEK UK LTD,£747.96,Instrument consumables
EA,21/08/2013,THAMES WATER WEB PAYM,£660.00,Commercial drainage and water enquiry search for Sapphire East
EA,21/08/2013,THE BROADWAY BAR&GRILL,£500.00,"Room hire, lunch and refreshments for eleven people attending Definition of Waste panel meeting"
EA,21/08/2013,THE ENIGMA ANCODING CO,"£1,516.24",Batteries to power site monitoring equipment
EA,21/08/2013,THE GLASS HOUSE LINCOL,£752.40,Replacement door at Toft Newton Reservoir control Building
EA,21/08/2013,THE HUB EVENTS,£540.00,Fee for one person attending Resilient Leadership training course
EA,21/08/2013,THE HUB EVENTS,£540.00,Fee for one person attending Resilient Leadership training course
EA,21/08/2013,THE KINGS HEAD HOTEL,£949.75,Dinner for eleven people attending National Metal Mines meeting
EA,21/08/2013,THE MET F AND B,£670.00,Accommodation for two people for one night plus delegate day rate for fifteen people and room hire for meeting 
EA,21/08/2013,THE SOURCE TESTING,"£3,600.00",Support work to develop the Environment Agency’s Monitoring Certification Scheme and the European Committee for Standardisation 
EA,21/08/2013,THE ST JOHN S HOTEL F,"£3,539.60",Accommodation including evening meal for 36 people for one night for Fisheries and Biodiversity Network launch
EA,21/08/2013,THE STORE ROOM,"£1,470.00",Storage of equipment off site due to office move
EA,21/08/2013,THISTLE BRISTOL HTL,"£2,577.00",Accommodation for thirteen people for one night plus room hire for thirteen people attending Coaching for Performance training 
EA,21/08/2013,THISTLE DESIGN MMC,"£1,695.34",Shaft encoders for the measurement of river levels
EA,21/08/2013,THISTLE EUSTON,£645.60,"Accommodation for one person for two nights attending various meetings in London.  This is above the normal ceiling rates for accommodation, but it is considered to be an isolated incident due to the high cost of hotels during Wimbledon."
EA,21/08/2013,THISTLE THE ROUGEMONT,£945.00,Accommodation for nine people for one night attending Environment and Business meeting
EA,21/08/2013,TICKETOFFICESALE,£633.00,Monthly train ticket for travelling to assignment - Salisbury to London
EA,21/08/2013,TNT UK LTD,"£4,800.00",Courier multiple commercial samples to and from National Laboratory Service and Leeds laboratory
EA,21/08/2013,TNT UK LTD,"£3,912.11",Courier multiple commercial samples to and from National Laboratory Service and Leeds laboratory
EA,21/08/2013,TNT UK LTD,"£3,150.10",Courier multiple commercial samples to and from National Laboratory Service and Leeds laboratory
EA,21/08/2013,TNT UK LTD,"£2,563.67",Courier multiple commercial samples to and from National Laboratory Service and Leeds laboratory
EA,21/08/2013,TNT UK LTD,"£1,137.29",Monthly payment for off-site storage of documentation
EA,21/08/2013,TNT UK LTD,£991.63,289 items delivered to various offices and depots
EA,21/08/2013,TNT UK LTD,£661.36,282 items delivered to various offices and depots
EA,21/08/2013,TNT UK LTD,£569.44,Courier multiple commercial samples to and from National Laboratory Service and Leeds laboratory
EA,21/08/2013,TNT UK LTD,£525.40,178 items delivered to various offices and depots
EA,21/08/2013,TRAVIS PERKINS,£666.00,Wire netting for reinstatement works at Cockermouth
EA,21/08/2013,Trimble Europe B.V,"£1,357.80",Maintenance for eCognition software (eCognition is a development environment for object-based image analysis used in earth sciences)
EA,21/08/2013,TRIMBLE VRS NOW-GB,"£2,700.00",Two annual licences to use a commercial GPS (Global Positioning System) correction service 
EA,21/08/2013,TRIMBLE VRS NOW-GB,"£2,353.45",Annual subscription for GPS (Global Positioning System) surveying equipment - Suffolk
EA,21/08/2013,TUDOR GRIFFITHS LTD,£570.00,Ready-mixed concrete for flood bank repair
EA,21/08/2013,TYPHOON INTERNATIONAL,£657.60,Drysuits for sampling and collection for surveys
EA,21/08/2013,UNIVAR-MOTO,"£2,093.32",Chemical - hydrogen peroxide for Smethwick Fire
EA,21/08/2013,UNIVERSITY CUMBRIA,"£2,000.00",Training - Foundation Degree Module 2 in Radiation Protection
EA,21/08/2013,UNIVERSITY OF WARWICK,"£5,950.89",Accommodation for three people for three nights and 21 people for one night plus room and equipment hire for 24 people for two days attending Managing in the Environment Agency training course
EA,21/08/2013,UNIVERSITY OF WARWICK,"£5,680.61",Fees for 23 people attending Managing in the Environment Agency training course
EA,21/08/2013,UNIVERSITY OF WARWICK,"£5,521.66",Accommodation and evening meal for one person for three nights plus room and equipment hire for eleven people attending Managing in the Environment Agency course
EA,21/08/2013,UPTON MARINA,"£1,058.40",Temporary mooring for third-party boat relocated due to Environment Agency works
EA,21/08/2013,VALEPORT LTD,£575.64,"Repair, service and calibration of Sound Velocity sensor"
EA,21/08/2013,VILLAGE HT WARRINGTON,£782.50,Venue hire for 26 people attending Carbon Reduction Commitment Customer Liaison Group Meeting 
EA,21/08/2013,VILLAGE HTL SOLIHULL (,"£3,057.60",Venue hire for Project Excellence Awards 
EA,21/08/2013,VP FABRICATION LTD,"£1,284.00",Four steel wheels with bronze bore
EA,21/08/2013,WARRINGTON CULTURAL TR,"£4,140.42","Room hire, lunch and refreshments for one hundred people attending Directors' Roadshow "
EA,21/08/2013,WATSON MARLOW LTD,"£1,933.54",Additional parts for pumping equipment at Fobney Mead Lab
EA,21/08/2013,WECHILLIT.COM LTD,"£1,986.00",Fridge for the canteen at Richard Fairclough House
EA,21/08/2013,WEST COAST TRAINS,"£1,298.00",Eleven return journeys to London for assignment
EA,21/08/2013,WESTCOUNTRY R T,"£1,500.00",Development and design for catchment mapping portal in collaboration with Rivers Trust
EA,21/08/2013,WIGAN LEISURE&CULT,"£1,760.00",Room hire and catering for one hundred people attending Operations Conference 
EA,21/08/2013,WIGHTLINK FERRIES,£724.80,Ferry tickets to Isle of Wight for samplers to carry out field work
EA,21/08/2013,WKD STORAGE SYSTEMS LT,"£1,452.00",New racking and shelving system for Northfleet Depot
EA,21/08/2013,WOBURN CHEMICALS LTD,"£1,203.12",24 hydrogen peroxide containers 
EA,21/08/2013,WOBURN CHEMICALS LTD,"£1,011.50","Twenty drums of 30kg hydrogen peroxide for emergency aeration, and collection of twenty empty drums"
EA,21/08/2013,WOBURN CHEMICALS LTD,£772.20,"Fifteen drums of 30kg hydrogen peroxide for emergency aeration, and collection of fifteen empty drums"
EA,21/08/2013,WOODEND,£552.00,Venue hire for North Sea Coastal Managers meeting
EA,21/08/2013,WORDDESIGNL,"£1,398.00",Three picnic benches at Richard Fairclough House
EA,21/08/2013,WORLD OF TRAVEL,£585.84,Venue for Catchment Partnership Fund Event
EA,21/08/2013,WORLD OF TRAVEL,"£6,280.52","Room, equipment hire, lunch and refreshments for 21 people attending Conflict Restriction training for five days"
EA,21/08/2013,WORLD OF TRAVEL,"£4,600.71",Accommodation and evening meal for thirteen people for one night plus room hire and evening meal for sixteen people attending Freshwater Macrophyte Survey Training and Accreditation for two days
EA,21/08/2013,WORLD OF TRAVEL,"£4,123.80",Room hire for fourteen people attending Coaching for Performance training course
EA,21/08/2013,WORLD OF TRAVEL,"£3,430.51",Accommodation for six people for one night plus room hire for fourteen day delegates attending Auditing for Better Regulations course
EA,21/08/2013,WORLD OF TRAVEL,"£3,409.31",Accommodation with evening meal for two people for five nights and four people for three nights plus six day delegates attending Essential Enforcement course
EA,21/08/2013,WORLD OF TRAVEL,"£2,893.78",Accommodation and evening meal for three people for two nights and for seven people for one night plus room hire for Influencing People training course
EA,21/08/2013,WORLD OF TRAVEL,"£2,711.90",Accommodation for thirteen people for one night plus room and equipment hire for 10 day delegates attending Train the Trainer course
EA,21/08/2013,WORLD OF TRAVEL,"£2,501.99",Accommodation for two people for one night plus refreshments for eighteen people attending Working with Others - Facilitating Participative Meetings course
EA,21/08/2013,WORLD OF TRAVEL,"£2,498.50",Accommodation for eleven people for one night plus ten day delegates attending Train the Trainer course for two days
EA,21/08/2013,WORLD OF TRAVEL,"£1,971.22",Accommodation and evening meal for seven people for one night plus fifteen day delegates attending Influencing People course
EA,21/08/2013,WORLD OF TRAVEL,"£1,894.01",Accommodation and evening meal for nine people for one night plus thirteen day delegates attending Base Controller Development Programme training 
EA,21/08/2013,WORLD OF TRAVEL,"£1,008.02","Eighteen day delegates attending Working with Others, An Introduction to Stakeholder Engagement for Permit Applications course"
EA,21/08/2013,WORLD OF TRAVEL,£931.26,"Room hire plus refreshments and lunch for sixty people attending Team Leader Day conference,  Oxford Place, Leeds"
EA,21/08/2013,WORLD OF TRAVEL,£924.63,Accommodation and evening meal for two people for one night plus eighteen day delegates attending Hostile Situations training course 
EA,21/08/2013,WORLD OF TRAVEL,£814.47,"Accommodation and evening meal for one person for one night, accommodation for one person for one night plus eighteen day delegates attending Hostile Situations training course "
EA,21/08/2013,WORLD OF TRAVEL,£814.46,Accommodation and evening meal for two people for one night plus eighteen day delegates attending Hostile Situations training course 
EA,21/08/2013,WORLD OF TRAVEL,£812.22,Accommodation and evening meal for two people for one night plus eighteen day delegates attending Hostile Situations training course 
EA,21/08/2013,WORLD OF TRAVEL,£792.42,Accommodation for two people for one night plus room hire and refreshments for 14 day delegates
EA,21/08/2013,WORLD OF TRAVEL,£759.88,Accommodation for one person for one night plus nineteen day delegates attending Working with Others - An Introduction to Stakeholder Engagement course
EA,21/08/2013,WORLD OF TRAVEL,£745.92,Meeting room hire including lunch and refreshments for 32 people attending Solent and South Downs Talent Programme Graduation
EA,21/08/2013,WORLD OF TRAVEL,£717.51,Accommodation for two people for one night plus fourteen day delegates attending Hostile Situations training course
EA,21/08/2013,WORLD OF TRAVEL,£690.72,Accommodation for one person for one night plus eighteen day delegates attending Effective Conversations course
EA,21/08/2013,WORLD OF TRAVEL,£625.24,Accommodation for one person for one night plus photocopying and delegate day rate for thirteen people attending Working with Others training course 
EA,21/08/2013,WORLD OF TRAVEL,£601.33,"Accommodation for two people for one night, including evening meal for one person, plus ten day delegates"
EA,21/08/2013,WORLD OF TRAVEL,£574.09,Accommodation for one person for one night plus room hire plus eighteen day delegates attending Hostile Situations training course 
EA,21/08/2013,WORLD OF TRAVEL,£556.49,Training and refreshments for thirteen day delegates attending Working with Others - Developing Effective Conversations course
EA,21/08/2013,WORLD OF TRAVEL,£554.45,Training and refreshments for seventeen people attending An Introduction to Stakeholder Engagement for Permitted and Exempt Sites course
EA,21/08/2013,WP-LANTRA AWARDS L,£830.25,Lantra membership fees for internal trainers
EA,21/08/2013,WP-TRADESHIP PUBLI,£720.00,On-line training for one person for six week Cement Pyroprocessing course
EA,21/08/2013,WP-WARBURTON TECHN,£834.30,Siemens modems for Telemetry site communications
EA,21/08/2013,WURTH UK LTD,£808.48,"Spanner sets, silicone, cleaning materials - Personal Protective Equipment for Scots Float Depot"
EA,21/08/2013,WWW.BUILDERSBEAMS.CO.U,"£4,086.71",Steel work for haul road construction 
EA,21/08/2013,WWW.CGERHARDT.COM,£893.38,"Urgent repair to laboratory equipment - National Laboratory Service, Nottingham "
EA,21/08/2013,WWW.CIMAGLOBAL/BPP,£838.80,Chartered Institute of Management Accountants - professional training course
EA,21/08/2013,WWW.CROWNOIL.CO.UK,£866.25,One thousand litres of gas oil and red diesel
EA,21/08/2013,WWW.CROWNOIL.CO.UK,£866.25,One thousand litres of gas oil and red diesel
EA,21/08/2013,WWW.CROWNOIL.CO.UK,£866.25,One thousand litres of gas oil
EA,21/08/2013,WWW.CROWNOIL.CO.UK,£865.39,One thousand litres of gas oil
EA,21/08/2013,WWW.DEFRA.GOV.UK,"£1,036.00","Marine Management Organisation license for Pett, East Sussex works"
EA,21/08/2013,WWW.DIGITALID.CO.UK,£989.40,Net ID (Identification) tags for Eel and Crayfish Authorisation and Licensing
EA,21/08/2013,WWW.DOORSTORESONLINE.C,"£1,678.57",Seven doors for the 5th Floor of Guildbourne House
EA,21/08/2013,WWW.EXTRANET.APLANT.CO,£673.92,Pump hire for incident response - Shorne and Higham Marshes
EA,21/08/2013,WWW.EXTRANET.APLANT.CO,£537.60,Pump hire for incident response - Shorne and Higham Marshes
EA,21/08/2013,WWW.FISHER.CO.UK,£517.20,"Two automated liquid dispensers for National Laboratory, Nottingham"
EA,21/08/2013,WWW.GRUNDON.COM,£570.38,Disposal of hazardous waste from Ladymead containers
EA,21/08/2013,WWW.GRUNDON.COM,£548.35,Disposal of assorted waste from Red Kite House
EA,21/08/2013,WWW.ILXGROUP.COM,"£2,422.00",Prince 2 group training course and practitioner manuals
EA,21/08/2013,WWW.ILXGROUP.COM,"£1,890.00",Prince 2 group training course and exam
EA,21/08/2013,WWW.ILXGROUP.COM,"£1,260.00",Management of Portfolio training course for two people
EA,21/08/2013,WWW.INNOVYZE.COM,"£1,070.00",Annual maintenance for Infoworks Controlled Substance License
EA,21/08/2013,WWW.JCA.BIZ,£600.00,Credits for staff members to undertake Psychometric Emotional Intelligence Reports
EA,21/08/2013,WWW.LEEDS.AC.UK,£620.00,Room hire for one day for conference 
EA,21/08/2013,WWW.MONITORARMSANDSTAN,"£1,912.12","Monitor arms for National Laboratory Service, Starcross facilities"
EA,21/08/2013,WWW.NCL.AC.UK,"£1,125.00",Specialist technical training for one person in Newcastle
EA,21/08/2013,WWW.NEOPOST.CO.UK,£618.00,Orchard House upload of franking machine credit
EA,21/08/2013,WWW.NEOPOST.CO.UK,£515.00,Franking machine credits for Shepperton
EA,21/08/2013,WWW.NETSECRETS.CO.UK,"£1,200.00",Text credits for the call system allowing urgent messages to be sent in the event of system failure during incident response
EA,21/08/2013,WWW.NETSECRETS.CO.UK,£540.00,"Text credits for the Environment Agency's staff call system.  The system is used by staff when working alone, as part of Health and Safety procedures. Texts are used for urgent messages."
EA,21/08/2013,WWW.NISBETS.COM,£646.01,Kitchen utensils for Thames Barrier Cafe - London
EA,21/08/2013,WWW.ORDNANCESURVEY.CO.,"£1,152.00",Global Positioning elevation map data for use in water level survey instrument positioning 
EA,21/08/2013,WWW.PAYOCS.CO.UK,£514.26,Security for July 2013 - includes visits and key holding
EA,21/08/2013,WWW.PB.COM,£623.40,Thirty boxes of envelopes for office stock
EA,21/08/2013,WWW.SHOWDATA.COM,£712.80,Fees for six people attending Personal Assistant Event
EA,21/08/2013,WWW.STAPLES.CO.UK,£969.49,Sofa for break room for long overnight shifts during flood incident response event
EA,21/08/2013,WWW.TECNI-LIFT.COM,£586.61,"Pump lifting chains for Bull Street, Creech St. Michael"
EA,21/08/2013,WWW.THOMASTELFORD.ORG.,"£2,098.00",Fees for twelve people attending New Engineering Contract Introduction to the Term of Services Contract
EA,21/08/2013,WWW.TRESCAL.CO.UK,"£1,386.00",On-site calibration of various laboratory equipment
EA,21/08/2013,WWW.VIRIDOR.CO.UK,"£1,241.51",Operational waste from Coney Gut flood defence scheme in Barnstaple
EA,21/08/2013,WWW.WYEUSKFOUNDATION.O,£500.00,Contribution to postage to the Catch and Release initiative for the Wye and Usk Foundation to enable protection of salmon stocks and increase the number of salmon that can return to spawn
EA,21/08/2013,WYMARK LTD,£500.40,Dartford Creek Barrier - two open gear grease chain rollers
EA,21/08/2013,XMA LTD,£981.06,Toners for National Laboratory service - Nottingham Laboratory Facilities
EA,21/08/2013,XMA LTD,£520.60,Toners for printers at office
EA,21/08/2013,XYLEM ANALYTICS UK LTD,"£2,166.60",Water Quality Meter probes and cables for Coverdale House
EA,21/08/2013,XYLEM ANALYTICS UK LTD,"£1,863.46",Spares for handheld instruments for sampling and collection
EA,21/08/2013,YEOWARD MARINE FUELS L,£675.95,Fuel and oil for patrol boat - South West region
EA,21/08/2013,YORK SURVEY SUPPLY,£924.91,Lifting tools and hazard tape for Pillings Gauging station
EA,21/08/2013,ZENITH SURVEY,£747.60,Service of Laser Levels and of Auto Laser (control tools)
