Unique identifier,Invoice Paid Date,Invoice Cost Centre Description,Invoice Account Description,Supplier Name,Transparency Invoice Amount
August Transparency 418,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STAFFORDSHIRE HIGHER SKILLS & ENGAGEMENT PATHWAYS ESF,"£91,883"
August Transparency 419,23/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILL UP,"£91,427"
August Transparency 420,16/08/2022,CHG WORKPLACE TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,RESOLUTION INTERIORS LTD,"£91,294"
August Transparency 421,22/08/2022,WWEG WP FG CEP ESF1420 FAM LONDON NTH & EAST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£91,004"
August Transparency 422,05/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CLLD SOUTH LEEDS,"£90,945"
August Transparency 423,26/08/2022,PCP ESTATES SECURITY DELA,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - SECURITY,G4S SECURE SOLUTIONS UK LTD,"£90,271"
August Transparency 424,18/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,A19,"£89,425"
August Transparency 425,11/08/2022,PCP ESTATES RENT RATES SERVICE DILAPS DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,TELEREAL TRILLIUM,"£89,304"
August Transparency 426,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,YOUTH ROUTEWAYS,"£89,106"
August Transparency 427,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ADVANCE,"£87,334"
August Transparency 428,05/08/2022,DIG DEBT MGT - MAINTENANCE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,MASTEK UK LTD,"£87,224"
August Transparency 429,04/08/2022,DIG TECH PLATFORM CIS BAU,EXP - SERVICE ELEMENT OF NON-PFI FIN LEASES - HOSTING,BAE SYSTEMS APPLIED INTELLIGENCE LTD,"£86,963"
August Transparency 430,22/08/2022,DIG CHILDREN  - COMMON PLATFORMS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£86,848"
August Transparency 431,26/08/2022,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£86,725"
August Transparency 432,08/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£86,358"
August Transparency 433,04/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£86,207"
August Transparency 434,04/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£86,207"
August Transparency 435,04/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£86,207"
August Transparency 436,04/08/2022,DIG DATA CENTRE OPERATIONS DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CROWN HOSTING DATA CENTRES LTD,"£86,207"
August Transparency 437,11/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORCESTERSHIRE COUNTY COUNCIL,"£86,116"
August Transparency 438,30/08/2022,CHG PRIVATE SECTOR PROVISION,Exp - Purchase Of Goods/Services - Consultancy,MILLS & REEVE LLP,"£85,667"
August Transparency 439,12/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WHITEHEAD ROSS EDUCATION AND CONSULTING LTD,"£85,425"
August Transparency 440,12/08/2022,STR SOCIAL IMPACT BONDS,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - REPROGRAPHICS,XEROX UK LTD,"£83,685"
August Transparency 441,08/08/2022,DIG DG COO E CASE AND MANAGEMENT INFORMATION,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,FIVIUM LTD,"£83,257"
August Transparency 442,25/08/2022,P&C DIGITAL PROFESSIONAL L&D BUDGET,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,UDACITY EMEA HOLDINGS LTD,"£83,250"
August Transparency 443,15/08/2022,DIG D&A-02  PENSIONS TRANSFORMATION,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SCOTT LOGIC LTD,"£83,219"
August Transparency 444,04/08/2022,EP CEP RESTART CPA 4A SOUTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,THE PLUSS ORGANISATION,"£83,018"
August Transparency 445,08/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£82,638"
August Transparency 446,12/08/2022,CHG UC DIGITAL SERVICES-RECURRENT,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,EXPERIAN LTD,"£82,516"
August Transparency 447,05/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,INDUSTRY SPECIALIST TEACHING & KNOWLEDGE EXCHANGE PROGR,"£81,924"
August Transparency 448,01/08/2022,EP CEP RESTART CPA 5C HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£81,824"
August Transparency 449,18/08/2022,EP CEP RESTART CPA 5B SOUTH & EAST LONDON,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£81,674"
August Transparency 450,22/08/2022,DIG DWP PLACE PDU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£81,551"
August Transparency 451,08/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£81,387"
August Transparency 452,22/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£80,872"
August Transparency 453,09/08/2022,P&C APPRENTICESHIP DN FUNDING,EXP - PURCHASE OF GOODS/SERVICES - TRAINING & DEVELOPMENT,CAPITA,"£80,755"
August Transparency 454,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£80,280"
August Transparency 455,04/08/2022,CHG DIGITAL DEBT MANAGEMENT SERVICE,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,C&R SOFTWARE,"£79,672"
August Transparency 456,17/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WORKS BETTER 1525 POSITIVE MINDS,"£79,200"
August Transparency 457,05/08/2022,STR INDEPENDENT CASE EXAMINER,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - POSTAGE,ROYAL MAIL GROUP PLC,"£78,759"
August Transparency 458,30/08/2022,SE SM CROSS CUSTOMER VIEW DIGITAL,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£78,734"
August Transparency 459,01/08/2022,STR CF&D DIRECTOR & SUPPORT,EXP - CURRENT GRANTS TO LOCAL GOVERNMENT,EARLY INTERVENTION FOUNDATION,"£78,473"
August Transparency 460,05/08/2022,DIG COMPLEX DELIVERY,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,UBDS IT CONSULTING LTD,"£78,120"
August Transparency 461,15/08/2022,DIG TECHPLAT-01 CPS SECURITY,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,COMPUTACENTER UK LTD,"£77,697"
August Transparency 462,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STAFFORDSHIRE HIGHER SKILLS & ENGAGEMENT PATHWAYS ESF,"£77,553"
August Transparency 463,05/08/2022,WWEG CEP IPES CPA 2 NORTH EAST ENGLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£77,546"
August Transparency 464,04/08/2022,DIG SINGLE CUSTOMER VIEW & SINGLE AGENT VIEW DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£77,373"
August Transparency 465,25/08/2022,FG CS HS HDAS PASSTHROUGH,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£77,182"
August Transparency 466,30/08/2022,DIG RBC - COMMERCIAL COSTS,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,SCRUMCONNECT LTD,"£76,530"
August Transparency 467,18/08/2022,DIG OFFICE OF THE CHIEF DATA OFFICER - NON-STAFF,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,DELOITTE LLP,"£75,780"
August Transparency 468,04/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S FACILITIES MANAGEMENT (UK) LTD,"£75,712"
August Transparency 469,15/08/2022,FG CD ESTATES COSTS,Exp - Purchase Of Goods/Services - Consultancy,DENTONS UK & MIDDLE EAST LLP,"£75,395"
August Transparency 470,09/08/2022,PCP ESTATES LCW DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,HM REVENUE & CUSTOMS,"£75,023"
August Transparency 471,26/08/2022,DIG WA MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£74,978"
August Transparency 472,18/08/2022,DIG - WAN REFRESH DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,REDESMERE LTD,"£74,520"
August Transparency 473,26/08/2022,HR GRS,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - RECRUITMENT,CABINET OFFICE,"£74,475"
August Transparency 474,24/08/2022,DIG RBC - COMMERCIAL COSTS,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,IBM,"£73,899"
August Transparency 475,19/08/2022,STR WORK & HEALTH INNOVATION FUND,EXP - PURCHASE OF GOODS/SERVICES - OTHER PROF SERVICES - ORIGINAL RESEARCH,INSTITUTE FOR EMPLOYMENT STUDIES,"£73,860"
August Transparency 476,01/08/2022,DIG CITIZEN INF - STRATEGIC ARA CROSS PROG SUPPORT DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£73,746"
August Transparency 477,08/08/2022,SE SPD PRINT,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - PRINTING,HH GLOBAL,"£73,691"
August Transparency 478,08/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£73,538"
August Transparency 479,22/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£72,674"
August Transparency 480,26/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,STAFFORDSHIRE SKILLS HUB,"£72,221"
August Transparency 481,08/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£71,974"
August Transparency 482,24/08/2022,DIG NETWORK ACCESS SERVICE,AI - PFI - RENTALS UNDER NON-PFI OPERATING LEASES - P&M - CONNECTIVITY,BT GLOBAL SERVICES,"£71,974"
August Transparency 483,11/08/2022,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SHAW TRUST,"£71,935"
August Transparency 484,04/08/2022,FG FIN CONT ESF 2014-2020,EXP - CAPITAL GRANTS TO CENTRAL GOVERNMENT,DEPARTMENT FOR LEVELLING UP HOUSING & COMMUNITIES,"£71,425"
August Transparency 485,04/08/2022,EP CEP WHP DWP CONTRACTS WALES CPA6,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REMPLOY LTD,"£71,157"
August Transparency 486,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,WE WORK FOR EVERYONE,"£71,117"
August Transparency 487,04/08/2022,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,PCI PAL,"£71,043"
August Transparency 488,01/08/2022,DIG CONTACT CENTRE SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,PCI PAL,"£71,043"
August Transparency 489,22/08/2022,FG CRC CYBER RESILIENCE CENTRE,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,2T SECURITY LTD,"£70,875"
August Transparency 490,26/08/2022,DIG AUTHENTICATE,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,HMRC,"£70,815"
August Transparency 491,25/08/2022,OPS SE DRS CMG BLACKPOOL,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£70,573"
August Transparency 492,16/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£70,366"
August Transparency 493,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SOLENT EMPLOYMENT SUPPORT,"£70,183"
August Transparency 494,26/08/2022,DIG INTEGRATION - STRATEGIC ARA API GATEWAY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£69,848"
August Transparency 495,17/08/2022,DIG TBPS PROJECT,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,OPEN TEXT UK LTD,"£69,328"
August Transparency 496,04/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,RESKILL & RECOVER,"£69,197"
August Transparency 497,16/08/2022,HR EAP,EXP - PURCHASE OF GOODS/SERVICES - PERSONNEL RELATED,PAM GROUP,"£68,875"
August Transparency 498,25/08/2022,DIG WORKPLACE SECURITY OPERATIONS S&S DEL P,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,"DIGICERT, INC","£68,870"
August Transparency 499,16/08/2022,PCP ESTATES RENT RATES SERVICE DILAPS DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION &BLDNG MNGMT- RENT TO LANDLORDS,DENTONS UK AND MIDDLE EAST LLP,"£68,551"
August Transparency 500,01/08/2022,DIG DCBT EXTERNALS DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,CAPGEMINI UK PLC,"£68,173"
August Transparency 501,18/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,G4S REGIONAL MANAGEMENT UK & I LTD,"£68,141"
August Transparency 502,24/08/2022,DIG SERVICE PERFORMANCE REPORTING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,UNIFII,"£67,182"
August Transparency 503,18/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,REBOOT,"£66,948"
August Transparency 504,04/08/2022,EP CEP WHP JETS SCOTLAND,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,CAPITA BUSINESS SERVICES LTD,"£66,918"
August Transparency 505,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,EXPERIENCE WORKS,"£66,713"
August Transparency 506,25/08/2022,FG CS HS MEDICAL SERVICES SPECIFIC COSTS,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - FIXED COSTS,CENTRE FOR HEALTH & DISABILITY ASSESSMENTS LTD,"£66,578"
August Transparency 507,10/08/2022,WWEG WP FG CEP ESF1420 MARCHES TRANS,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£66,406"
August Transparency 508,25/08/2022,OPS SE DRS CMG BLACKPOOL,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£66,370"
August Transparency 509,19/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,LONDON COUNCILS ESF PROGRAMME 2015 2019,"£66,274"
August Transparency 510,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 511,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 512,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 513,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 514,17/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 515,19/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 516,12/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 517,12/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 518,30/08/2022,FG FSC BANKING,EXP - PURCHASE OF GOODS/SERVICES - OTHER - BANK CHARGES,VOCALINK,"£66,000"
August Transparency 519,25/08/2022,DIG CAMLITE REPLACEMENT - TRANSFORMATION DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UK LTD,"£65,773"
August Transparency 520,23/08/2022,CHG PUBLIC SECTOR PROVISION,Exp - Purchase Of Goods/Services - Consultancy,ATOS ORIGIN IT SERVICES UK LTD,"£65,678"
August Transparency 521,25/08/2022,OPS SE DRS CMG BLACKPOOL,EXP - PURCHASE OF GOODS/SERVICES - OTHER - NORTHERN IRELAND STAFF COSTS,DEPARTMENT FOR COMMUNITIES,"£65,446"
August Transparency 522,23/08/2022,STR LEGAL SERVICES,EXP - PURCHASE OF GOODS/SERVICES -OTHER PROFESSIONAL SERVICES - LEGAL,CABINET OFFICE,"£65,419"
August Transparency 523,11/08/2022,FG CRC OPERATIONS SUPPORT WORKSTREAM DELIVERY,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CAPGEMINI UK PLC,"£65,174"
August Transparency 524,09/08/2022,WWEG WP FG CEP ESF1420 CORNWALL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,REED IN PARTNERSHIP LTD,"£65,103"
August Transparency 525,02/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£65,087"
August Transparency 526,01/08/2022,COMMS SPARE 1,EXP - PURCHASE OF GOODS/SERVICES - MARKETING & MEDIA,OMNICOM MEDIA GROUP UK LTD,"£65,026"
August Transparency 527,02/08/2022,FG CS HS PIP LOT 2,EXP - PURCHASE OF GOODS/SERVICES - MEDICAL - PIP GP FACTUAL,CAPITA BUSINESS SERVICES LTD#3WAY,"£64,789"
August Transparency 528,11/08/2022,DIG SDX REFRESH,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE LICENCES,COMPUTACENTER UK LTD,"£64,501"
August Transparency 529,01/08/2022,EP CEP RESTART CPA 1A WEST CENTRAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,SERCO LTD,"£64,322"
August Transparency 530,03/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,ESFA ESF PROJECTS,"£64,319"
August Transparency 531,22/08/2022,DIG DWP PLACE PDU,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£64,174"
August Transparency 532,26/08/2022,DIG TECH PLATFORM CIS BAU,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED,HOME OFFICE SHARED SERVICE CENTRE,"£63,945"
August Transparency 533,11/08/2022,PCP ESTATES RENT RATES SERVICE DILAPS DELP,EXP - PURCHASE OF GOODS/SERVICES - ACCOMMODATION &BLDNG MNGMT- RENT TO LANDLORDS,REGUS MANAGEMENT (UK) LTD,"£63,871"
August Transparency 534,16/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TENANTS FIRST,"£63,232"
August Transparency 535,03/08/2022,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDW LTD,"£63,044"
August Transparency 536,22/08/2022,DIG DYNAMIC TRUST HUB - CARERS PATHFINDER DEL P,EXP - SHORT-TERM CONTRACT & AGENCY STAFF - FULL COST,ACCENTURE UK LTD,"£62,810"
August Transparency 537,17/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,SKILL UP BUCKS,"£62,587"
August Transparency 538,15/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,DURHAM COUNTY COUNCIL,"£62,513"
August Transparency 539,11/08/2022,OPS DS ATW DISC EP NATIONAL,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,INGEUS UK LTD,"£62,259"
August Transparency 540,26/08/2022,DIG INTEGRATION - STRATEGIC ARA API GATEWAY DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,IBM UNITED KINGDOM LTD,"£62,184"
August Transparency 541,22/08/2022,DIG WORKPLACE COMPUTING SERVICE DEL P,EXP - PURCHASE OF GOODS/SERVICES - END USER SOFTWARE AND HARDWARE,ZSCALER,"£62,001"
August Transparency 542,12/08/2022,DIG INTEGRATION PLATFORMS FILE TRANSFER,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,OPENCAST,"£61,854"
August Transparency 543,17/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,THINK FUTURES,"£61,630"
August Transparency 544,23/08/2022,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£61,587"
August Transparency 545,03/08/2022,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDW LTD,"£61,563"
August Transparency 546,03/08/2022,DIG WORKPLACE COMPUTING MAINTENANCE DEL P,EXP - PURCHASE OF GOODS/SERVICES - OTHER ICT COSTS,CDW LTD,"£61,563"
August Transparency 547,25/08/2022,EP CEP WHP DWP CONTRACTS CENT ENG CPA1,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,SHAW TRUST,"£61,422"
August Transparency 548,12/08/2022,PCP ESTATES FFE DELA,EXP - PURCHASE OF GOODS/SERVICES - ACCOMM & BLDNG MGMT - FURNITURE & FITTINGS,WAGSTAFF BROS LTD T/A WAGSTAFF INTERIORS GROUP,"£61,303"
August Transparency 549,25/08/2022,EP CEP RESTART CPA 3A NORTH WEST,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - OUTCOME FEE 1,G4S FACILITIES MANAGEMENT (UK) LTD,"£60,570"
August Transparency 550,11/08/2022,DIG ECMS PROJECT,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,CAPGEMINI UK PLC,"£60,178"
August Transparency 551,30/08/2022,DIG STRATEGIC VIDEO SOLUTION DELP,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,INVOLVE VISUAL COLLABORATION LTD,"£60,000"
August Transparency 552,01/08/2022,EP CEP RESTART CPA 2B S & W YORKSHIRE DERBYSHIRE & NOTTINGHAMSHIRE,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE,MAXIMUS HEALTH & HUMAN SERVICES LTD,"£59,460"
August Transparency 553,03/08/2022,DIG TRANSFORMATION ECSS CP AND IDV - DEL P,EXP - PURCHASE OF GOODS/SERVICES - HOSTING,SOL TEC LTD,"£59,400"
August Transparency 554,24/08/2022,DIG SERVICE PERFORMANCE REPORTING,EXP - PURCHASE OF GOODS/SERVICES - SUPPORT - ICT OUTSOURCING SOFTWARE MAIN & SUP,UNIFII,"£59,070"
August Transparency 555,15/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,TEES VALLEY PATHWAYS ESF 1420,"£58,954"
August Transparency 556,19/08/2022,WWEG EUROPEAN SOCIAL FUND PROGRAMME 2014-2020,CA - OTHER RECEIVABLES - ESF EC CLAIMS PENDING,CHESHIRE & WARRINGTON PLEDGE,"£58,487"
August Transparency 557,23/08/2022,PCP ESTATES OLD BAU DELP,EXP - PURCHASE OF GOODS/SERVICES - BLDNG MANAGEMENT - MAIN CONTRACTOR,MITIE PROPERTY SERVICES UK LTD,"£58,330"
August Transparency 558,25/08/2022,EP CEP PHASE 2 NEA NB CPA06 LONDON & HOME COUNTIES,EXP - PURCHASE OF GOODS/SERVICES - SOCIAL CARE - SERVICE COMPLETION FEE,IXION HOLDINGS CONTRACTS LTD,"£58,296"
