Merchant Category,Supplier Name,Service,Summary of purpose of expenditure,Date,Net Amount
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,32.11
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,24.99
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,10.49
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,50
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,3.27
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,377.92
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,32.11
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,61.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,141.12
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,78.47
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,454.75
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,8.29
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,110.24
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,299.67
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,249.27
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,250
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,363.19
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,198
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,288
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,71.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,71.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,538.46
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,92.82
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,538
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,79.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,110.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,156.94
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,90.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,67.73
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,112.37
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,102.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,84.53
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,94.31
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,199.25
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,538
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,384.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Care Payments,26/09/2017,74.03
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,07/09/2017,-1071
Client/Customer (Non-Trade),Redact - Personal Information,Cultural & Related Services,Refunds,18/09/2017,-500
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Fees and Charges,04/09/2017,53.2
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Fees and Charges,04/09/2017,44.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Fees and Charges,04/09/2017,649.97
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Fees and Charges,04/09/2017,271
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Fees and Charges,04/09/2017,159
Client/Customer (Non-Trade),Redact - Personal Information,Central Services to the public,Transfer payments,05/09/2017,1710
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Catering Supplies,14/09/2017,450
Client/Customer (Non-Trade),Redact - Personal Information,Adult Social Care,Information and Communications Technology,14/09/2017,60
Client/Customer (Non-Trade),Redact - Personal Information,Cultural & Related Services,Refunds,05/09/2017,500
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1683.15
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1792.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,617.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1792.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1923.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,651.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1792.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1717.5
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,618.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2164.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2032.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,5267.55
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,3366.3
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,673.26
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2142
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2980.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,961.8
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,786.45
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2885.4
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1923.6
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1971.69
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1071
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2513.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,721.35
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1442.7
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2317.05
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,2142
Client/Customer (Non-Trade),Redact - Personal Information,Childrens & Educational Services,Third party payments - Private/Voluntary Sector,05/09/2017,1341.6
